지점,일시,기온(°C),풍향(36방위),풍속(m/s),해면기압(hPa),현지기압(hPa),12시간강수량(mm),상대습도(%),이슬점온도(°C),시정(m)
3,2018-01-13 15:00,-1,32,3,1027.7,1027.3,,38,-13.5,3000
3,2018-01-13 18:00,-5.5,23,3,1030.6,1030.2,,72,-9.7,3000
3,2018-01-13 21:00,-11,27,2,1031.6,1031.2,,75,-14.6,3000
3,2018-01-14 00:00,-9.2,0,0,1031.1,1030.7,,82,-11.7,3000
3,2018-01-14 03:00,-9.4,0,0,1030.8,1030.4,,86,-11.3,3000
3,2018-01-14 06:00,-8.4,0,0,1029.3,1028.9,,84,-10.6,3000
3,2018-01-14 09:00,-6.2,0,0,1028.9,1028.5,,84,-8.5,3000
3,2018-01-14 12:00,.2,14,1,1026.6,1026.2,,79,-3,3000
3,2018-01-14 15:00,-.1,14,1,1021.8,1021.4,,83,-2.7,3000
3,2018-01-14 18:00,-1.4,36,4,1020.4,1020,,78,-4.7,2000
3,2018-01-14 21:00,-2.5,32,1,1018.9,1018.5,,82,-5.1,2000
3,2018-01-15 00:00,-6.7,32,2,1017.8,1017.4,,86,-8.7,2000
3,2018-01-15 03:00,-7.2,0,0,1017.1,1016.7,,88,-8.9,2000
3,2018-01-15 06:00,-7.5,0,0,1016.9,1016.5,,88,-9.2,2000
3,2018-01-15 09:00,-.2,32,2,1019,1018.6,,61,-6.8,3000
3,2018-01-15 12:00,1.4,32,3,1020.4,1020,,43,-9.8,3000
3,2018-01-15 15:00,1.8,32,8,1017.9,1017.5,,36,-11.6,3000
3,2018-01-15 18:00,-.2,18,5,1021.8,1021.4,,39,-12.5,3000
3,2018-01-15 21:00,-2.6,36,4,1023.1,1022.7,,48,-12,3000
3,2018-01-16 00:00,-4.7,27,2,1022.1,1021.7,,57,-11.9,3000
3,2018-01-16 03:00,-3.1,0,0,1023.2,1022.8,,64,-9,3000
3,2018-01-16 06:00,-3.1,14,1,1021.3,1020.9,,73,-7.3,3000
3,2018-01-16 09:00,-2.9,14,1,1021,1020.6,0,86,-4.9,800
3,2018-01-16 12:00,-2.4,14,1,1019.6,1019.2,.1,89,-4,800
3,2018-01-16 15:00,-1.9,14,2,1017.4,1017,0,89,-3.4,1800
3,2018-01-16 18:00,-2.9,14,2,1018.6,1018.2,,88,-4.6,1800
3,2018-01-16 21:00,-8.2,0,0,1019.8,1019.4,,92,-9.2,3000
3,2018-01-17 00:00,-9.8,0,0,1020.2,1019.8,,94,-10.6,3000
3,2018-01-17 03:00,-7.6,0,0,1020.3,1019.9,,90,-8.9,3000
3,2018-01-17 06:00,-5.5,32,1,1020.4,1020,0,90,-6.9,800
3,2018-01-17 09:00,-4.7,0,0,1020.8,1020.4,0,93,-5.7,800
3,2018-01-17 12:00,-2.7,0,0,1020.2,1019.8,0,91,-4,800
3,2018-01-17 15:00,-2.2,0,0,1018,1017.6,.1,91,-3.4,800
3,2018-01-17 18:00,-2.7,0,0,1018.5,1018.1,.6,95,-3.4,800
3,2018-01-17 21:00,-2.5,0,0,1018,1017.6,.8,96,-3.1,800
3,2018-01-18 00:00,-1.9,0,0,1016.2,1015.8,0,96,-2.5,1100
3,2018-01-18 03:00,.4,36,1,1016.1,1015.7,0,72,-4.1,2000
3,2018-01-18 06:00,-1.5,36,3,1017.1,1016.7,,62,-7.9,3000
3,2018-01-18 09:00,-3,36,2,1020.1,1019.7,,51,-11.6,3000
3,2018-01-18 12:00,-.3,32,2,1020.8,1020.4,,33,-14.5,3000
3,2018-01-18 15:00,1.9,32,3,1019.6,1019.2,,20,-18.5,3000
3,2018-01-18 18:00,-1.8,32,3,1021.9,1021.5,,30,-16.9,3000
3,2018-01-18 21:00,-7.6,27,1,1023.7,1023.3,,48,-16.6,3000
3,2018-01-19 00:00,-9.2,0,0,1024.2,1023.8,,61,-15.4,3000
3,2018-01-19 03:00,-11.2,0,0,1024.4,1024,,65,-16.5,3000
3,2018-01-19 06:00,-13.2,0,0,1024.4,1024,,80,-15.9,3000
3,2018-01-19 09:00,-12.5,27,1,1024.1,1023.7,,85,-14.5,3000
3,2018-01-19 12:00,-1.6,14,1,1022.2,1021.8,,78,-5,3000
3,2018-01-19 15:00,-1.2,0,0,1018.8,1018.4,,82,-3.8,3000
3,2018-01-19 18:00,-1.5,0,0,1017.9,1017.5,0,96,-2.1,1100
3,2018-01-19 21:00,-6.5,0,0,1017.8,1017.4,0,96,-7,2100
3,2018-01-20 00:00,-9.4,0,0,1018,1017.6,,95,-10.1,3000
3,2018-01-20 03:00,-10.3,0,0,1018,1017.6,,90,-11.6,3000
3,2018-01-20 06:00,-11,0,0,1017.7,1017.3,,90,-12.3,3000
3,2018-01-20 09:00,-4.8,0,0,1019.8,1019.4,,81,-7.6,3000
3,2018-01-20 12:00,-.3,32,6,1020.3,1019.9,,24,-18.2,3000
3,2018-01-20 15:00,-1,32,5,1019.1,1018.7,,18,-22.6,3000
3,2018-01-20 18:00,-4.7,32,4,1019.7,1019.3,,11,-30.4,3000
3,2018-01-20 21:00,-7.3,32,3,1022.7,1022.3,,12,-32,3000
3,2018-01-21 00:00,-8.8,32,1,1023.9,1023.5,,22,-26.7,3000
3,2018-01-21 03:00,-10.3,32,1,1024.5,1024.1,,20,-29,3000
3,2018-01-21 06:00,-11.6,0,0,1025.3,1024.9,,25,-27.7,3000
3,2018-01-21 09:00,-11,32,2,1027.5,1027.1,,25,-27.2,3000
3,2018-01-21 12:00,-7.9,32,6,1027.4,1027,,20,-27.2,3000
3,2018-01-21 15:00,-6.6,36,4,1024.4,1024,,18,-26.9,3000
3,2018-01-21 18:00,-8,32,4,1024.1,1023.7,,19,-27.5,3000
3,2018-01-21 21:00,-9.5,32,3,1025.1,1024.7,,23,-26.7,3000
3,2018-01-22 00:00,-10,32,1,1024.2,1023.8,,25,-26.3,3000
3,2018-01-22 03:00,-10.1,27,2,1024,1023.6,,65,-15.4,2800
3,2018-01-22 06:00,-10.9,32,2,1023.6,1023.2,0,70,-15.3,800
3,2018-01-22 09:00,-10.8,32,3,1023.9,1023.5,0,50,-19.2,1800
3,2018-01-22 15:00,-9.4,36,2,1018.8,1018.4,.1,54,-17,1800
3,2018-01-22 18:00,-9.4,36,3,1018,1017.6,,42,-20,2100
3,2018-01-22 21:00,-10.2,32,5,1017.5,1017.1,.1,55,-17.5,2100
3,2018-01-23 00:00,-12.5,32,8,1016.9,1016.5,,30,-26.5,3000
3,2018-01-23 03:00,-15.5,32,8,1016.6,1016.2,,40,-26,3000
3,2018-01-23 06:00,-18,32,9,1017.1,1016.7,,40,-28.3,3000
3,2018-01-23 09:00,-18.2,32,5,1019.5,1019.1,,44,-27.5,3000
3,2018-01-23 12:00,-14.8,32,5,1018.9,1018.5,,40,-25.4,3000
3,2018-01-23 15:00,-13.5,32,6,1016.7,1016.3,,30,-27.4,3000
3,2018-01-23 18:00,-16.8,32,8,1019.8,1019.4,,35,-28.7,3000
3,2018-01-23 21:00,-18.5,32,6,1022.1,1021.7,,34,-30.5,3000
3,2018-01-24 00:00,-19.4,32,9,1021.4,1021,,35,-31,3000
3,2018-01-24 03:00,-19.9,32,9,1021.6,1021.2,,35,-31.5,3000
3,2018-01-24 06:00,-20,32,9,1022.4,1022,,40,-30.1,3000
3,2018-01-24 09:00,-19.1,32,9,1023.2,1022.8,,39,-29.6,3000
3,2018-01-24 12:00,-17.1,32,6,1022.4,1022,,35,-28.9,3000
3,2018-01-24 15:00,-15.2,32,7,1021.3,1020.9,,30,-28.9,3000
3,2018-01-24 18:00,-16.6,32,7,1024.2,1023.8,,35,-28.5,3000
3,2018-01-24 21:00,-18,32,8,1025.5,1025.1,,35,-29.8,3000
3,2018-01-25 00:00,-18.7,32,7,1027.2,1026.8,,35,-30.4,3000
3,2018-01-25 03:00,-19.1,32,7,1028,1027.6,,35,-30.7,3000
3,2018-01-25 06:00,-19.5,32,7,1027.8,1027.4,,35,-31.1,3000
3,2018-01-25 09:00,-18.7,32,7,1028.5,1028.1,,35,-30.4,3000
3,2018-01-25 12:00,-16.8,32,6,1026.7,1026.3,,35,-28.7,3000
3,2018-01-25 15:00,-15,32,5,1025.6,1025.2,,25,-30.7,3000
3,2018-01-25 18:00,-17,32,8,1026.2,1025.8,,25,-32.4,3000
3,2018-01-25 21:00,-18.4,32,9,1024.8,1024.4,,35,-30.1,3000
3,2018-01-26 00:00,-18.8,32,10,1024.2,1023.8,,35,-30.5,3000
3,2018-01-26 03:00,-19,32,10,1023.8,1023.4,,35,-30.7,3000
3,2018-01-26 06:00,-18.8,32,10,1023.3,1022.9,,35,-30.5,3000
3,2018-01-26 09:00,-18,32,8,1024.4,1024,,35,-29.8,3000
3,2018-01-26 12:00,-14,32,9,1022.5,1022.1,,35,-26.2,3000
3,2018-01-26 15:00,-11.9,32,7,1022.3,1021.9,,30,-26,3000
3,2018-01-26 18:00,-12,32,6,1024,1023.6,,30,-26.1,3000
3,2018-01-26 21:00,-12.2,32,9,1023.9,1023.5,,35,-24.6,3000
3,2018-01-27 00:00,-12.5,32,8,1026.4,1026,,30,-26.5,3000
3,2018-01-27 03:00,-12.9,32,5,1026.4,1026,,20,-31.2,3000
3,2018-01-27 06:00,-13.5,32,2,1027.3,1026.9,,20,-31.7,3000
3,2018-01-27 09:00,-11.2,32,2,1028.9,1028.5,,20,-29.8,3000
3,2018-01-27 12:00,-7.1,32,4,1028.2,1027.8,,18,-27.2,3000
3,2018-01-27 15:00,-5.1,32,1,1025.1,1024.7,,16,-26.9,3000
3,2018-01-27 18:00,-7.3,36,3,1023.9,1023.5,,12,-32,3000
3,2018-01-27 21:00,-11.1,27,2,1024.1,1023.7,,20,-29.7,3000
3,2018-01-28 00:00,-7.3,36,6,1022.5,1022.1,,23,-25.1,3000
3,2018-01-28 03:00,-9.5,36,1,1022.3,1021.9,,23,-26.7,3000
3,2018-01-28 06:00,-8.8,32,6,1019.5,1019.1,,26,-24.7,3000
3,2018-01-28 09:00,-9.3,32,10,1018.9,1018.5,,27,-24.8,3000
3,2018-01-28 12:00,-8.9,32,10,1017.4,1017,,26,-25,3000
3,2018-01-28 15:00,-5.4,32,3,1015.5,1015.1,,19,-25.2,3000
3,2018-01-28 18:00,-9.2,32,4,1016.2,1015.8,,25,-25.8,3000
3,2018-01-28 21:00,-11.7,32,5,1017.7,1017.3,,25,-27.8,3000
3,2018-01-29 00:00,-12.5,32,6,1018.9,1018.5,,30,-26.5,3000
3,2018-01-29 03:00,-12.7,32,3,1018.3,1017.9,,30,-26.7,3000
3,2018-01-29 06:00,-12.7,27,2,1017.5,1017.1,,30,-26.7,2000
3,2018-01-29 09:00,-12.8,32,4,1018,1017.6,,35,-25.1,3000
3,2018-01-29 12:00,-12.1,32,5,1017.6,1017.2,,35,-24.5,3000
3,2018-01-29 15:00,-8.3,32,5,1016.6,1016.2,,31,-22.3,3000
3,2018-01-29 18:00,-10.6,32,3,1018.1,1017.7,,35,-23.1,3000
3,2018-01-29 21:00,-11.8,32,3,1019.7,1019.3,,35,-24.2,3000
3,2018-01-30 00:00,-12.7,32,3,1020.1,1019.7,,40,-23.5,3000
3,2018-01-30 03:00,-14.2,0,0,1020.8,1020.4,,45,-23.6,3000
3,2018-01-30 06:00,-17.2,27,2,1020.4,1020,,55,-24.1,3000
3,2018-01-30 09:00,-14.7,0,0,1021.6,1021.2,,70,-19,3000
3,2018-01-30 12:00,-3.3,32,1,1021.1,1019.7,,42,-14.5,3000
3,2018-01-30 15:00,-3.3,32,3,1018.2,1017.8,,42,-14.5,3000
3,2018-01-30 18:00,-5.3,18,2,1018.6,1018.2,,70,-9.9,3000
3,2018-01-30 21:00,-8.8,0,0,1019.5,1019.1,,76,-12.2,3000
3,2018-01-31 00:00,-7.5,32,3,1021.8,1021.4,,73,-11.5,3000
3,2018-01-31 03:00,-7.8,32,2,1022.6,1022.2,,59,-14.4,3000
3,2018-01-31 06:00,-7.8,32,3,1022.1,1021.7,,59,-14.4,3000
3,2018-01-31 09:00,-7.8,32,1,1026.2,1025.8,,62,-13.9,3000
3,2018-01-31 12:00,-4.6,32,5,1025.8,1025.4,,55,-12.2,3000
3,2018-01-31 15:00,-2.9,32,4,1025,1024.6,,43,-13.7,3000
3,2018-01-31 18:00,-5.5,32,3,1026.1,1025.7,,43,-16.2,3000
3,2018-01-31 21:00,-9.5,32,3,1028,1027.6,,54,-17.1,3000
3,2018-02-01 00:00,-10.4,27,2,1028.6,1028.2,,55,-17.7,3000
3,2018-02-01 03:00,-8.5,0,0,1029.3,1028.9,,62,-14.4,3000
3,2018-02-01 06:00,-7.5,0,0,1029.2,1028.8,,62,-13.5,3000
3,2018-02-01 09:00,-8.2,0,0,1031.5,1031.1,,60,-14.5,3000
3,2018-02-01 12:00,-3.9,14,4,1031.6,1031.2,,60,-10.6,3000
3,2018-02-01 15:00,-3.7,14,3,1030.5,1030.1,,60,-10.3,3000
3,2018-02-01 18:00,-6.5,0,0,1031.7,1031.3,,83,-8.9,3000
3,2018-02-01 21:00,-11.6,32,1,1032.9,1032.5,,85,-13.6,3000
3,2018-02-02 00:00,-12.9,0,0,1033.4,1033,,90,-14.2,3000
3,2018-02-02 03:00,-11.6,0,0,1033.2,1032.8,,90,-12.9,3000
3,2018-02-02 06:00,-9.6,0,0,1032.8,1032.4,,88,-11.2,3000
3,2018-02-02 09:00,-8,0,0,1033.1,1032.7,,87,-9.8,3000
3,2018-02-02 12:00,-4.2,14,1,1032.5,1032.1,,65,-9.7,3000
3,2018-02-02 15:00,-3.9,14,2,1030.5,1030.1,,75,-7.6,3000
3,2018-02-02 18:00,-5.1,0,0,1030,1029.6,,83,-7.6,3000
3,2018-02-02 21:00,-9.9,0,0,1029.8,1029.4,,87,-11.6,3000
3,2018-02-03 00:00,-11,0,0,1029,1028.6,,90,-12.3,3000
3,2018-02-03 03:00,-12.9,0,0,1028.3,1027.9,,90,-14.2,3000
3,2018-02-03 06:00,-11,0,0,1027.3,1026.9,,80,-13.8,3000
3,2018-02-03 09:00,-6.9,0,0,1026.9,1026.5,,77,-10.2,3000
3,2018-02-03 12:00,-5.7,32,6,1026.1,1025.7,,72,-10,3000
3,2018-02-03 15:00,-5.3,32,4,1023.5,1023.1,,68,-10.3,3000
3,2018-02-03 18:00,-6.1,32,4,1024.5,1024.1,,68,-11,2000
3,2018-02-03 21:00,-7.3,32,8,1024.7,1024.3,,68,-12.2,2000
3,2018-02-04 00:00,-8.4,32,7,1024.8,1024.4,,66,-13.7,3000
3,2018-02-04 03:00,-10.8,32,6,1025.6,1025.2,,65,-16.1,3000
3,2018-02-04 06:00,-11,32,7,1024.8,1024.4,,60,-17.2,3000
3,2018-02-04 09:00,-12.3,32,6,1025.7,1025.3,,65,-17.5,3000
3,2018-02-04 12:00,-9.6,32,8,1025.2,1024.8,,60,-16,3000
3,2018-02-04 15:00,-8,32,7,1023,1022.6,,53,-16,3000
3,2018-02-04 18:00,-10,32,7,1024.7,1024.3,,45,-19.7,3000
3,2018-02-04 21:00,-11.2,32,6,1025.6,1025.2,,50,-19.6,3000
3,2018-02-05 00:00,-12.7,32,5,1025.7,1025.3,,55,-19.9,3000
3,2018-02-05 03:00,-13.5,32,5,1025.3,1024.9,,55,-20.6,3000
3,2018-02-05 06:00,-14.1,32,5,1024.3,1023.9,,55,-21.2,3000
3,2018-02-05 09:00,-13.6,32,9,1024.7,1024.3,,55,-20.7,3000
3,2018-02-05 12:00,-10.6,32,9,1022.9,1022.5,,45,-20.2,3000
3,2018-02-05 15:00,-8.6,32,5,1020.4,1020,,45,-18.5,3000
3,2018-02-05 18:00,-9.6,32,8,1021.2,1020.8,,50,-18.1,3000
3,2018-02-05 21:00,-11.2,32,11,1021.4,1021,,49,-19.7,3000
3,2018-02-06 00:00,-12.5,32,8,1021.6,1021.2,0,65,-17.7,800
3,2018-02-06 03:00,-13,32,12,1022.1,1021.7,0,65,-18.2,800
3,2018-02-06 06:00,-12.9,32,10,1021.9,1021.5,0,65,-18.1,800
3,2018-02-06 09:00,-11.8,32,10,1021.8,1021.4,0,65,-17,3000
3,2018-02-06 12:00,-9.4,32,7,1021.6,1021.2,,60,-15.7,3000
3,2018-02-06 15:00,-6.7,32,5,1020.4,1020,,54,-14.5,3000
3,2018-02-06 18:00,-8.4,32,5,1022,1021.6,,51,-16.7,3000
3,2018-02-06 21:00,-9.4,32,3,1023.8,1023.4,,51,-17.7,3000
3,2018-02-07 00:00,-10.2,32,6,1025.1,1024.7,,50,-18.6,3000
3,2018-02-07 03:00,-11.2,32,2,1024.5,1024.1,,45,-20.8,3000
3,2018-02-07 06:00,-10.4,32,4,1023.2,1022.8,,45,-20.1,3000
3,2018-02-07 09:00,-9.3,32,6,1023.8,1023.4,,48,-18.2,3000
3,2018-02-07 12:00,-5.9,36,3,1023.7,1023.3,,41,-17,3000
3,2018-02-07 15:00,-2.9,32,4,1021.3,1020.9,,29,-18.6,3000
3,2018-02-07 18:00,-6.3,0,0,1022,1021.6,,35,-19.3,3000
3,2018-02-07 21:00,-8.2,32,3,1023,1022.6,,40,-19.3,3000
3,2018-02-08 00:00,-9.2,32,3,1023,1022.6,,39,-20.5,3000
3,2018-02-08 03:00,-11,32,2,1022.9,1022.5,,35,-23.5,3000
3,2018-02-08 06:00,-13.4,0,0,1022.8,1022.4,,35,-25.6,3000
3,2018-02-08 09:00,-9.4,32,2,1023.8,1023.4,,45,-19.2,3000
3,2018-02-08 12:00,-3.9,14,4,1021.8,1021.4,,46,-13.8,3000
3,2018-02-08 15:00,-2.6,23,4,1020.5,1020.1,,65,-8.3,3000
3,2018-02-08 18:00,-3.8,14,1,1020.5,1020.1,,85,-6,1800
3,2018-02-08 21:00,-3.5,0,0,1020.7,1020.3,,90,-4.9,1800
3,2018-02-09 00:00,-7.2,32,1,1020.3,1019.9,,93,-8.1,1800
3,2018-02-09 03:00,-9.8,27,1,1020,1019.6,,87,-11.5,2800
3,2018-02-09 06:00,-10.8,0,0,1019.8,1019.4,,90,-12.1,2800
3,2018-02-09 09:00,-8.2,0,0,1018.2,1017.8,,90,-9.6,3000
3,2018-02-09 12:00,-1.1,14,1,1019.9,1019.5,,75,-5,3000
3,2018-02-09 15:00,0,14,3,1016.5,1016.1,,83,-2.6,3000
3,2018-02-09 18:00,-2.5,0,0,1016.9,1016.5,,87,-4.4,3000
3,2018-02-09 21:00,-6.9,32,1,1017.6,1017.2,,88,-8.5,3000
3,2018-02-10 00:00,-9.4,32,1,1016.8,1016.4,,88,-11,3000
3,2018-02-10 03:00,-8.6,32,1,1016.9,1016.5,,89,-10.1,3000
3,2018-02-10 06:00,-.6,32,6,1015.6,1015.2,,47,-10.6,3000
3,2018-02-10 09:00,-3.4,36,3,1017.2,1016.8,,59,-10.3,3000
3,2018-02-10 12:00,-1,36,6,1014.7,1014.3,,44,-11.8,3000
3,2018-02-10 15:00,.2,32,5,1012.6,1012.2,,33,-14,3000
3,2018-02-10 18:00,-6.1,32,4,1015.1,1014.7,,36,-18.9,3000
3,2018-02-10 21:00,-8.2,32,10,1015.5,1015.1,,32,-21.9,3000
3,2018-02-11 00:00,-9.6,32,9,1015.8,1015.4,,35,-22.3,3000
